S (in),t (min),sqrt t
-0.001713026,0,0
0.003336599,0.1,0.316227766
0.00367913,0.2,0.447213595
0.003773056,0.233333333,0.483045892
0.003883754,0.266666667,0.51639778
0.00408316,0.3,0.547722558
0.004240075,0.366666667,0.605530071
0.004439854,0.433333333,0.658280589
0.004791703,0.516666667,0.718795288
0.005458128,0.616666667,0.785281266
0.005973974,0.75,0.866025404
0.006312032,0.916666667,0.957427108
0.006559892,1.133333333,1.064581295
0.007485358,1.4,1.183215957
0.008508105,1.733333333,1.316561177
0.009480162,2.133333333,1.460593487
0.01000048,2.666666667,1.632993162
0.010719087,3.316666667,1.821171784
0.012101136,4.15,2.037154879
0.013681847,5.183333333,2.276693509
0.014556623,6.483333333,2.546239057
0.016499246,8.116666667,2.848976424
0.018977096,10.18333333,3.19113355
0.020951399,12.76666667,3.573047252
0.023374087,16.03333333,4.004164499
0.025995061,20.15,4.488875137
0.02911511,25.31666667,5.031567019
0.032352193,31.81666667,5.640626443
0.035927334,40.01666667,6.325872799
0.038791323,50.31666667,7.093424185
0.041740292,63.3,7.956129712
0.044501037,79.65,8.924684868
0.046727673,100.2166667,10.01082747
0.048966236,126.1166667,11.2301677
0.05023647,158.7166667,12.59828031
0.051996086,199.7666667,14.13388364
0.05263083,251.4333333,15.8566495
0.053401618,316.4666667,17.78951002
0.054056489,398.35,19.95870737
0.05471956,501.4333333,22.39270715
0.055837723,631.2166667,25.12402569
0.056732254,794.5833333,28.18835457
0.057364761,1000.266667,31.62699269
0.057598457,1259.2,35.48520819
0.057674865,1440.3,37.95128456
