Axial strain (%),Deviator stress [kPa],Mean stress [kPa],Volumetric strain [%]
0,0.405740761,40,0.044334092
0.025,1.244803354,40.4,0.164356319
0.275,13.31890733,44.4,0.167413618
0.525,24.73315076,48.4,0.258913065
0.775,37.13193693,52.4,0.584891996
1.025,48.01659084,56.4,0.685195551
1.275,61.45286531,60.4,0.814736867
1.525,72.50434722,64.4,0.745489547
1.775,80.51045141,66.90609796,1.087884599
2.025,82.83910718,67.43331229,1.140546148
2.275,83.83236786,67.92393804,0.978751769
2.525,83.96970855,68.37814993,0.969218599
2.775,87.05053533,68.79631651,1.046960187
3.025,87.97212562,69.17898358,1.090868527
3.275,88.15084838,69.5268167,1.03429417
3.525,88.80427058,69.84067767,1.083521998
3.775,90.88409512,70.12157788,1.096103695
4.025,90.93574262,70.37064963,1.001331536
4.275,92.09728484,70.58916191,0.808168868
4.525,92.16703901,70.77848904,0.673177307
4.775,93.54783717,70.94009788,0.778547953
5.025,93.15726178,71.07552076,0.823840607
5.275,92.97986763,71.18634446,0.531355554
5.525,93.84854161,71.27418266,0.732709379
5.775,94.75030448,71.34066082,0.536578235
6.025,94.0700152,71.38739948,0.712763573
6.275,94.75727997,71.41599581,0.683507537
6.525,95.44493012,71.42801063,0.576602142
6.775,94.59726721,71.42495634,0.414545643
7.025,94.75648697,71.40828674,0.324336766
7.275,94.67669565,71.37938923,0.332726385
7.525,93.82899299,71.339579,0.204675712
7.775,93.35942093,71.2900951,0.148618413
8.025,93.68373336,71.23209793,0.091880209
8.275,92.94204535,71.16666841,0.147675523
8.525,94.25657025,71.09480807,-0.049183257
8.775,93.1808427,71.01744132,0.04457036
9.025,92.47342161,70.93541558,0.007682301
9.275,92.27383107,70.84950762,-0.101356346
9.525,91.9570114,70.76042253,-0.227268272
9.775,92.07059043,70.66880106,-0.22952324
10.025,91.81242012,70.57522285,-0.18032408
10.275,92.03857731,70.48020693,-0.352004005
10.525,91.69766427,70.3842218,-0.437210968
10.775,90.44753573,70.287684,-0.358223327
11.025,90.23351258,70.19096423,-0.496878006
11.275,90.11902721,70.09439103,-0.462266298
11.525,89.43233283,69.99825381,-0.707266033
11.775,89.69559099,69.90280857,-0.582510914
12.025,89.85794421,69.80827759,-0.603234656
12.275,89.43959341,69.71485349,-0.722412313
12.525,88.39120911,69.6227022,-0.689309102
12.775,88.85795771,69.53196638,-0.616957978
13.025,88.74926293,69.44276893,-0.863825504
13.275,88.47201588,69.35521079,-0.89813952
13.525,87.56771136,69.26937477,-0.754145431
13.775,88.01384112,69.18533007,-0.932077158
14.025,87.35607663,69.10313173,-0.987676742
14.275,86.72241497,69.02282232,-0.729574367
14.525,85.66578135,68.94443193,-1.080549064
14.775,87.53289752,68.86798255,-1.028632351
15.025,86.81732541,68.7934866,-0.973119511
15.275,84.92965863,68.72094776,-1.158812634
15.525,85.41306308,68.65036546,-1.018499639
15.775,85.42017126,68.58173155,-1.113971184
16.025,85.5614437,68.51503289,-0.973858239
16.275,85.25649943,68.45025072,-1.14171755
16.525,84.74355746,68.3873646,-1.115197815
16.775,84.47314717,68.32634876,-1.302739917
17.025,84.09543614,68.26717595,-0.998810391
17.275,84.45281803,68.20981628,-1.417994601
17.525,84.33920674,68.15423686,-1.202739601
17.775,83.43115398,68.10040388,-1.345432354
18.025,84.34057152,68.04828183,-1.102779129
18.275,83.53730693,67.99783374,-1.247965295
18.525,83.31928181,67.9490227,-1.183744761
18.775,83.8663388,67.90181034,-1.353421764
19.025,83.84178409,67.85615809,-1.424561909
19.275,83.34526364,67.81202693,-1.396466752
19.525,83.67958426,67.76937801,-1.50063974
19.775,83.03770417,67.72817247,-1.325314822
20.025,82.87325199,67.68837128,-1.256126663
20.275,82.53076338,67.64993586,-1.36245372
20.525,83.16171341,67.61282798,-1.459935121
20.775,81.96580186,67.57700942,-1.412441001
21.025,82.6857373,67.54244284,-1.514388785
21.275,82.13365787,67.50909117,-1.338568244
21.525,82.32230562,67.47691819,-1.279329223
21.775,82.79635922,67.44588818,-1.515588892
22.025,80.83311112,67.41596582,-1.525297546
22.275,81.83506235,67.38711663,-1.425355174
22.525,81.97476271,67.35930699,-1.332560954
22.775,82.27753338,67.33250372,-1.391234228
23.025,81.35552238,67.30667482,-1.489315783
23.275,81.81185551,67.28178854,-1.609147788
23.525,82.11996042,67.25781408,-1.656089718
23.775,82.0947732,67.23472133,-1.601633395
24.025,81.36488249,67.21248117,-1.637104264
24.275,82.26597973,67.19106498,-1.572843644
24.525,80.93571472,67.17044513,-1.39357262
24.775,81.79053635,67.15059449,-1.543041876
