    time(1)             time(2)             stran(1)            stran(2)            stran(3)            stran(4)            stran(5)            stran(6)            stress(1)           stress(2)           stress(3)           stress(4)           stress(5)           stress(6)      G                   K                   eta                 D                   I                   Yield               EPSPX               EPSPY               EPSPZ               GAMMAXY             GAMMAXZ             GAMMAYZ             Ni                  Sum_Rate            F1_max              F2_max              Rn_max              F0_last             F0_max         
 0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -40.000000000       -40.000000000       -40.000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       
 10000.000000        10000.000000       -.25000000000E-03   0.50000000000E-04   0.50000000000E-04    0.0000000000        0.0000000000        0.0000000000       -51.160000000       -40.000000000       -40.000000000        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.2000000001        0.0000000000        100000000.00        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       
 110000.00000        110000.00000       -.27500000000E-02   0.83581145179E-03   0.83581145179E-03    0.0000000000        0.0000000000        0.0000000000       -120.42290597       -40.000000273       -40.000000273        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.2037981151       -.63301917631E-02    100000000.00        1.0000000000       -.95340824470E-03   0.47800139645E-03   0.47800139645E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.16537202583E-04   0.14560954909E-04   0.36979455240E-04   0.50546574926E-07   0.32539990473E-01   
 210000.00000        210000.00000       -.52500000000E-02   0.20959971437E-02   0.20959971437E-02    0.0000000000        0.0000000000        0.0000000000       -121.44549247       -40.000000938       -40.000000938        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.2129160565       -.21526760855E-01    100000000.00        1.0000000000       -.34412974527E-02   0.17390836149E-02   0.17390836149E-02    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.13164524120E-04   0.17895505259E-03   0.32731695504E-04   0.33224551999E-08   0.28832935096E-01   
 310000.00000        310000.00000       -.77500000000E-02   0.33749709219E-02   0.33749709219E-02    0.0000000000        0.0000000000        0.0000000000       -122.35576456       -40.000001582       -40.000001582        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.2209550126       -.34925020991E-01    100000000.00        1.0000000000       -.59303512406E-02   0.30188395040E-02   0.30188395040E-02    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.86010330165E-04   0.74348618739E-04   0.28216875836E-04   0.49896542009E-07   0.25507622641E-01   
 410000.00000        410000.00000       -.10250000000E-01   0.46706884203E-02   0.46706884203E-02    0.0000000000        0.0000000000        0.0000000000       -123.16005440       -40.000001500       -40.000001500        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.2279980715       -.46663452505E-01    100000000.00        1.0000000000       -.84205632042E-02   0.43152408116E-02   0.43152408116E-02    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.39672545569E-04   0.48670056671E-04   0.24654159831E-04   0.16809664771E-06   0.22424393502E-01   
 510000.00000        510000.00000       -.12750000000E-01   0.59812152687E-02   0.59812152687E-02    0.0000000000        0.0000000000        0.0000000000       -123.86492835       -40.000001507       -40.000001507        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.2341248632       -.56874771985E-01    100000000.00        1.0000000000       -.10911876891E-01   0.56263505420E-02   0.56263505420E-02    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.22737982448E-04   0.29565040265E-04   0.21249605340E-04   0.21906856773E-07   0.19499695808E-01   
 610000.00000        610000.00000       -.15250000000E-01   0.73047322228E-02   0.73047322228E-02    0.0000000000        0.0000000000        0.0000000000       -124.47708750       -40.000001346       -40.000001346        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.2394115068       -.65685844699E-01    100000000.00        1.0000000000       -.13404269312E-01   0.69503700555E-02   0.69503700555E-02    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.14617053814E-03   0.14108712436E-03   0.17984977073E-04   0.57787744367E-07   0.16724166609E-01   
 710000.00000        710000.00000       -.17750000000E-01   0.86395385565E-02   0.86395385565E-02    0.0000000000        0.0000000000        0.0000000000       -125.00324588       -40.000001403       -40.000001403        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.2439302063       -.73217010482E-01    100000000.00        1.0000000000       -.15897675310E-01   0.82856010258E-02   0.82856010258E-02    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.38525406922E-04   0.18041312515E-04   0.15459180096E-04   0.52428916320E-07   0.14331670114E-01   
 810000.00000        810000.00000       -.20250000000E-01   0.99840532055E-02   0.99840532055E-02    0.0000000000        0.0000000000        0.0000000000       -125.45005229       -40.000001423       -40.000001423        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.2477492519       -.79582086329E-01    100000000.00        1.0000000000       -.18392040176E-01   0.96304730216E-02   0.96304730216E-02    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.23535945815E-05   0.76948961663E-04   0.12980515607E-04   0.16316334950E-08   0.12021825521E-01   
 910000.00000        910000.00000       -.22750000000E-01   0.11336814320E-01   0.11336814320E-01    0.0000000000        0.0000000000        0.0000000000       -125.82400891       -40.000001447       -40.000001447        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.2509328729       -.84888121266E-01    100000000.00        1.0000000000       -.20887288617E-01   0.10983525291E-01   0.10983525291E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.16265225042E-05   0.34351118074E-05   0.10629434091E-04   0.17389083951E-07   0.10000232884E-01   
 1010000.0000        1010000.0000       -.25250000000E-01   0.12696477354E-01   0.12696477354E-01    0.0000000000        0.0000000000        0.0000000000       -126.13141752       -40.000001428       -40.000001428        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.2535412981       -.89235496825E-01    100000000.00        1.0000000000       -.23383372267E-01   0.12343429563E-01   0.12343429563E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.19929204612E-04   0.82075077046E-05   0.86553505707E-05   0.92344549785E-08   0.81228534477E-02   
 1110000.0000        1110000.0000       -.27750000000E-01   0.14061812020E-01   0.14061812020E-01    0.0000000000        0.0000000000        0.0000000000       -126.37832245       -40.000001393       -40.000001393        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.2556307106       -.92717850975E-01    100000000.00        1.0000000000       -.25880214573E-01   0.13708956244E-01   0.13708956244E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.24981882504E-04   0.24232794161E-04   0.67564762977E-05   0.45336463472E-08   0.64228672361E-02   
 1210000.0000        1210000.0000       -.30250000000E-01   0.15431698116E-01   0.15431698116E-01    0.0000000000        0.0000000000        0.0000000000       -126.57048011       -40.000001379       -40.000001379        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.2572533723       -.95422287115E-01    100000000.00        1.0000000000       -.28377747738E-01   0.15078989677E-01   0.15078989677E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.33618054857E-04   0.34053909701E-04   0.51915978526E-05   0.20070558548E-08   0.49285219251E-02   
 1310000.0000        1310000.0000       -.32750000000E-01   0.16805120708E-01   0.16805120708E-01    0.0000000000        0.0000000000        0.0000000000       -126.71333245       -40.000001383       -40.000001383        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.2584577232       -.97429538716E-01    100000000.00        1.0000000000       -.30875910400E-01   0.16452521586E-01   0.16452521586E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.13858957999E-04   0.22023842163E-04   0.37004091225E-05   0.17139669239E-07   0.35343161197E-02   
 1410000.0000        1410000.0000       -.35250000000E-01   0.18181164726E-01   0.18181164726E-01    0.0000000000        0.0000000000        0.0000000000       -126.81199009       -40.000001381       -40.000001381        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.2592885090       -.98814181698E-01    100000000.00        1.0000000000       -.33374639832E-01   0.17828641029E-01   0.17828641029E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.89576715823E-07   0.18648640321E-06   0.24167270702E-05   0.69315426288E-06   0.23254909783E-02   
 1510000.0000        1510000.0000       -.37750000000E-01   0.19559009179E-01   0.19559009179E-01    0.0000000000        0.0000000000        0.0000000000       -126.87122518       -40.000001381       -40.000001381        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.2597869408       -.99644901345E-01    100000000.00        1.0000000000       -.35873876150E-01   0.19206530642E-01   0.19206530642E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.32809125088E-05   0.32537323165E-05   0.12769033651E-05   0.58949531052E-05   0.12391770304E-02   
 1610000.0000        1610000.0000       -.40250000000E-01   0.20937921161E-01   0.20937921161E-01    0.0000000000        0.0000000000        0.0000000000       -126.89546985       -40.000001380       -40.000001380        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.2599908645       -.99984774245E-01    100000000.00        1.0000000000       -.38373563049E-01   0.20585460885E-01   0.20585460885E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.14786205611E-05   0.24617236960E-05   0.83739398241E-06   0.27905741717E-06   0.27975722737E-03   
