    time(1)             time(2)             stran(1)            stran(2)            stran(3)            stran(4)            stran(5)            stran(6)            stress(1)           stress(2)           stress(3)           stress(4)           stress(5)           stress(6)      G                   K                   eta                 D                   I                   Yield               EPSPX               EPSPY               EPSPZ               GAMMAXY             GAMMAXZ             GAMMAYZ             Ni                  Sum_Rate            F1_max              F2_max              Rn_max              F0_last             F0_max         
 0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -20.000000000       -20.000000000       -20.000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       
 10000.000000        10000.000000       -.25000000000E-03   0.50000000000E-04   0.50000000000E-04    0.0000000000        0.0000000000        0.0000000000       -21.200000000       -20.000000000       -20.000000000        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.2000000000        0.0000000000        100000000.00        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       
 110000.00000        110000.00000       -.27500000000E-02   0.55000000000E-03   0.55000000000E-03    0.0000000000        0.0000000000        0.0000000000       -33.200000000       -20.000000000       -20.000000000        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.2000000000        0.0000000000        100000000.00        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       
 210000.00000        210000.00000       -.52500000000E-02   0.10500000000E-02   0.10500000000E-02    0.0000000000        0.0000000000        0.0000000000       -45.200000000       -20.000000000       -20.000000000        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.2000000000        0.0000000000        100000000.00        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       
 310000.00000        310000.00000       -.77500000000E-02   0.15500000000E-02   0.15500000000E-02    0.0000000000        0.0000000000        0.0000000000       -57.200000000       -20.000000000       -20.000000000        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.2000000000        0.0000000000        100000000.00        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       
 410000.00000        410000.00000       -.10250000000E-01   0.25451824685E-02   0.25451824685E-02    0.0000000000        0.0000000000        0.0000000000       -61.554246161       -20.000036940       -20.000036940        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.2275462788       -.45910464492E-01    100000000.00        1.0000000000       -.17572468551E-02   0.89796305348E-03   0.89796305348E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.11142516056E-03   0.22413948176E-03   0.22601146686E-04   0.11606644534E-08   0.58837153528E-01   
 510000.00000        510000.00000       -.12750000000E-01   0.37530716155E-02   0.37530716155E-02    0.0000000000        0.0000000000        0.0000000000       -63.472988587       -20.000052035       -20.000052035        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.2604127924       -.10068798740        100000000.00        1.0000000000       -.40393117536E-02   0.21238821386E-02   0.21238821386E-02    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.51992891310E-03   0.32607651542E-03   0.21610244069E-04   0.54403628269E-08   0.54181334315E-01   
 610000.00000        610000.00000       -.15250000000E-01   0.50293498033E-02   0.50293498033E-02    0.0000000000        0.0000000000        0.0000000000       -65.262770449       -20.000078240       -20.000078240        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.2899895585       -.14998259733        100000000.00        1.0000000000       -.63246806422E-02   0.34152593688E-02   0.34152593688E-02    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.82358297782E-04   0.13597509974E-03   0.18247280835E-04   0.24111415087E-08   0.49240241426E-01   
 710000.00000        710000.00000       -.17750000000E-01   0.63718984066E-02   0.63718984066E-02    0.0000000000        0.0000000000        0.0000000000       -66.915232498       -20.000072668       -20.000072668        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.3164194183       -.19403236378        100000000.00        1.0000000000       -.86174739325E-02   0.47701487873E-02   0.47701487873E-02    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.89450641610E-04   0.20411714807E-04   0.15496853181E-04   0.18295459370E-07   0.44586028197E-01   
 810000.00000        810000.00000       -.20250000000E-01   0.77781593461E-02   0.77781593461E-02    0.0000000000        0.0000000000        0.0000000000       -68.423703976       -20.000062848       -20.000062848        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.3398431307       -.23307188446        100000000.00        1.0000000000       -.10921565247E-01   0.61864672003E-02   0.61864672003E-02    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.12299313892E-03   0.66976151366E-04   0.13587026440E-04   0.75141528555E-08   0.39878526834E-01   
