Axial strain (%),Deviator stress [kPa],Mean stress [kPa],Volumetric strain [%]
0,-0.116483663,10,0.087552696
0.025,1.357149733,10.4,0.136501913
0.275,13.63569376,14.4,0.203689908
0.525,21.05408826,17.02156359,0.462359257
0.775,23.59138108,17.82500667,0.319167177
1.025,24.77828932,18.60742993,0.1611809
1.275,27.45363311,19.35733904,0.209699818
1.525,30.48162818,20.06191627,-0.046356195
1.775,31.69835625,20.70748418,0.1061776
2.025,33.44361106,21.2803558,-0.136035206
2.275,36.24136778,21.76781615,-0.317064232
2.525,36.49569924,22.15954791,-0.571317461
2.775,36.87455212,22.44894266,-0.770845666
3.025,37.82288854,22.63429919,-0.799713784
3.275,38.66988182,22.7194037,-1.254063422
3.525,38.12936466,22.713242,-1.683625321
3.775,38.15139057,22.62880141,-1.901344524
4.025,37.45707228,22.48129417,-2.075077348
4.275,36.28729501,22.28629657,-2.441233563
4.525,35.49500156,22.05825745,-2.75485207
4.775,35.5164928,21.80957298,-2.903166278
5.025,34.30130588,21.55023568,-3.086313976
5.275,33.45850316,21.28789223,-3.336490403
5.525,32.77550233,21.02812615,-3.631023383
5.775,32.94640422,20.77482818,-3.936710143
6.025,31.96066305,20.53057898,-4.059491221
6.275,31.10550824,20.29697198,-4.186900564
6.525,31.40133732,20.0748854,-4.626553615
6.775,29.9537545,19.86467434,-4.613156109
7.025,29.79147036,19.66635249,-4.7873316
7.275,28.52152384,19.47969079,-4.949429974
7.525,27.73376313,19.30430293,-5.024662146
7.775,27.64166789,19.13971331,-5.189828734
8.025,26.53848919,18.98538993,-5.373026663
8.275,26.18090715,18.84077441,-5.313710433
8.525,25.80426996,18.70530422,-5.562625092
8.775,25.22590924,18.57843066,-5.542877521
9.025,26.05270573,18.45961567,-5.68215778
9.275,24.6640128,18.34834685,-5.750918443
9.525,24.89149928,18.24413889,-5.753595799
9.775,24.13109802,18.14653237,-5.726935065
10.025,24.06728333,18.05509615,-5.964605244
10.275,24.22334086,17.96942712,-5.81952569
10.525,23.5216245,17.88914651,-5.845520027
10.775,22.87390338,17.81390103,-6.253285031
11.025,22.23819392,17.74336163,-6.178153496
11.275,22.48029658,17.67722244,-6.404189462
11.525,23.62664903,17.61519769,-6.268253582
11.775,23.40283309,17.55702127,-6.093639876
12.025,22.67987335,17.50244547,-6.346335984
12.275,22.93250063,17.45123965,-6.387087508
12.525,22.88617151,17.40318907,-6.455678464
12.775,21.45599906,17.35809286,-6.435879376
13.025,22.49978837,17.31576478,-6.629662694
13.275,21.89514971,17.27603004,-6.566850721
13.525,21.42647743,17.23872646,-6.735756436
13.775,21.72116904,17.20370224,-6.543683846
14.025,21.72025282,17.17081528,-6.631302482
14.275,21.65100725,17.13993329,-6.753146423
14.525,21.20059084,17.11093241,-6.667757805
14.775,20.9583724,17.08369675,-6.700271635
15.025,21.20850247,17.05811782,-6.757548148
15.275,20.96963657,17.03409421,-6.783250597
15.525,20.85102929,17.01153096,-6.703822583
15.775,19.91040141,16.990339,-6.697405059
16.025,20.97910198,16.97043486,-6.781907639
16.275,20.44202907,16.95174028,-6.844909462
16.525,20.86722537,16.93418193,-6.824028318
16.775,20.52211915,16.91769095,-6.908002658
17.025,20.87678961,16.90220283,-6.947982131
17.275,21.03783952,16.88765695,-6.769263122
17.525,21.23570658,16.87399645,-6.872811999
17.775,20.52171796,16.86116786,-6.731953201
18.025,21.15554448,16.84912103,-6.790240674
18.275,20.18104788,16.83780878,-6.683583435
18.525,20.50251225,16.82718691,-6.83794062
18.775,21.24929001,16.81721373,-7.10915649
19.025,20.3768831,16.80785018,-6.817743336
19.275,20.61929886,16.79905952,-6.974309818
19.525,20.56949922,16.79080717,-6.820299785
19.775,20.59063827,16.78306066,-6.904264714
20.025,20.99426454,16.77578949,-6.728169348
20.275,20.05155063,16.76896494,-6.848631675
20.525,20.27286767,16.76256002,-6.865747169
20.775,20.72593692,16.75654936,-6.960268766
21.025,21.20272853,16.75090911,-7.042256856
21.275,20.41033247,16.74561682,-7.129273786
21.525,19.90018338,16.74065142,-7.049114247
21.775,21.01222628,16.73599305,-6.896903611
22.025,20.22899121,16.73162309,-6.817656859
22.275,21.17392156,16.72752399,-7.026591307
22.525,20.14972852,16.72367925,-6.94113747
22.775,20.13119849,16.7200734,-6.989566589
23.025,20.32243247,16.71669185,-6.875161192
23.275,20.06895624,16.71352091,-6.857163985
23.525,20.82478305,16.71054769,-6.885461709
23.775,20.74920285,16.70776009,-6.961893861
24.025,20.87718339,16.70514674,-6.969799355
24.275,19.57360787,16.70269693,-7.013088869
24.525,19.25274719,16.70040061,-6.764974593
24.775,19.7292541,16.69824836,-6.922666821
