    time(1)             time(2)             stran(1)            stran(2)            stran(3)            stran(4)            stran(5)            stran(6)            stress(1)           stress(2)           stress(3)           stress(4)           stress(5)           stress(6)      G                   K                   eta                 D                   I                   Yield               EPSPX               EPSPY               EPSPZ               GAMMAXY             GAMMAXZ             GAMMAYZ             Ni                  Sum_Rate            F1_max              F2_max              Rn_max              F0_last             F0_max         
 0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -10.000000000       -10.000000000       -10.000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       
 10000.000000        10000.000000       -.25000000000E-03   0.50000000000E-04   0.50000000000E-04    0.0000000000        0.0000000000        0.0000000000       -21.160000000       -10.000000000       -10.000000000        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.2000000001        0.0000000000        100000000.00        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       
 110000.00000        110000.00000       -.27500000000E-02   0.12604807557E-02   0.12604807557E-02    0.0000000000        0.0000000000        0.0000000000       -30.769653882       -10.000000287       -10.000000287        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.2272874704       -.45479117292E-01    100000000.00        1.0000000000       -.22928446009E-02   0.11715858452E-02   0.11715858452E-02    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.95432251882E-04   0.45370661885E-03   0.43701250590E-03   0.27483170584E-06   0.24199618679E-01   
 210000.00000        210000.00000       -.52500000000E-02   0.25912302082E-02   0.25912302082E-02    0.0000000000        0.0000000000        0.0000000000       -31.582925023       -10.000000490       -10.000000490        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.2552365408       -.92060901353E-01    100000000.00        1.0000000000       -.47826537793E-02   0.25029976016E-02   0.25029976016E-02    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.13257440366E-03   0.85997300786E-04   0.39807344915E-03   0.22157601265E-06   0.23271359210E-01   
 310000.00000        310000.00000       -.77500000000E-02   0.39818191989E-02   0.39818191989E-02    0.0000000000        0.0000000000        0.0000000000       -32.369379532       -9.9999997496       -9.9999997496        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.2814385159       -.13573085991        100000000.00        1.0000000000       -.72723820276E-02   0.38941794002E-02   0.38941794002E-02    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.57776818434E-04   0.99974759372E-04   0.36457474547E-03   0.19057004863E-08   0.22204494732E-01   
 410000.00000        410000.00000       -.10250000000E-01   0.54301926968E-02   0.54301926968E-02    0.0000000000        0.0000000000        0.0000000000       -33.125848666       -10.000000035       -10.000000035        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.3059094122       -.17651568696        100000000.00        1.0000000000       -.97621199324E-02   0.53430634992E-02   0.53430634992E-02    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.29978047964E-03   0.26194251489E-03   0.33086752525E-03   0.25435031858E-07   0.20822544354E-01   
 510000.00000        510000.00000       -.12750000000E-01   0.69340682503E-02   0.69340682503E-02    0.0000000000        0.0000000000        0.0000000000       -33.849386621       -9.9999996089       -9.9999996089        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.3286718116       -.21445301916        100000000.00        1.0000000000       -.12252007137E-01   0.68473889475E-02   0.68473889475E-02    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.21902616744E-04   0.49805206714E-05   0.30203430604E-03   0.14775125123E-06   0.19722455572E-01   
 610000.00000        610000.00000       -.15250000000E-01   0.84909528790E-02   0.84909528790E-02    0.0000000000        0.0000000000        0.0000000000       -34.537316960       -9.9999998293       -9.9999998293        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.3497538191       -.24958969855        100000000.00        1.0000000000       -.14742119294E-01   0.84046528879E-02   0.84046528879E-02    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.15934511175E-04   0.32428042626E-04   0.27355412420E-03   0.14492460565E-07   0.18444830789E-01   
 710000.00000        710000.00000       -.17750000000E-01   0.10098163342E-01   0.10098163342E-01    0.0000000000        0.0000000000        0.0000000000       -35.187285619       -9.9999994722       -9.9999994722        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.3691896428       -.28198273806        100000000.00        1.0000000000       -.17232559804E-01   0.10012185653E-01   0.10012185653E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.17244471277E-04   0.42785361419E-04   0.24703169087E-03   0.83211855184E-07   0.17207194507E-01   
 810000.00000        810000.00000       -.20250000000E-01   0.11752850006E-01   0.11752850006E-01    0.0000000000        0.0000000000        0.0000000000       -35.797300438       -9.9999994798       -9.9999994798        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.3870187932       -.31169798866        100000000.00        1.0000000000       -.19723389038E-01   0.11667130894E-01   0.11667130894E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.92437529887E-04   0.70562185840E-04   0.22200529741E-03   0.23810319050E-07   0.15867460280E-01   
