    time(1)             time(2)             stran(1)            stran(2)            stran(3)            stran(4)            stran(5)            stran(6)            stress(1)           stress(2)           stress(3)           stress(4)           stress(5)           stress(6)      G                   K                   eta                 D                   I                   Yield               EPSPX               EPSPY               EPSPZ               GAMMAXY             GAMMAXZ             GAMMAYZ             Ni                  Sum_Rate            F1_max              F2_max              Rn_max              F0_last             F0_max         
 0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -10.000000000       -10.000000000       -10.000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       
 10000.000000        10000.000000       -.25000000000E-03   0.50000000000E-04   0.50000000000E-04    0.0000000000        0.0000000000        0.0000000000       -11.200000000       -10.000000000       -10.000000000        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.2000000001        0.0000000000        100000000.00        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       
 110000.00000        110000.00000       -.27500000000E-02   0.55000000000E-03   0.55000000000E-03    0.0000000000        0.0000000000        0.0000000000       -23.200000000       -10.000000000       -10.000000000        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.2000000001        0.0000000000        100000000.00        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       
 210000.00000        210000.00000       -.52500000000E-02   0.13230403377E-02   0.13230403377E-02    0.0000000000        0.0000000000        0.0000000000       -31.064717870       -9.9999864495       -9.9999864495        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.2375321051       -.62553508466E-01    100000000.00        1.0000000000       -.98431847641E-03   0.50627785010E-03   0.50627785010E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.13760449463E-03   0.28126057177E-03   0.10746665103E-03   0.52478732471E-08   0.71359247454E-01   
 310000.00000        310000.00000       -.77500000000E-02   0.25543740874E-02   0.25543740874E-02    0.0000000000        0.0000000000        0.0000000000       -33.474988430       -10.000015783       -10.000015783        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.3169685200       -.19494753319        100000000.00        1.0000000000       -.31968675037E-02   0.17596740068E-02   0.17596740068E-02    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.30305977490E-03   0.61279468389E-03   0.89783996475E-04   0.13383392172E-08   0.67340129180E-01   
 410000.00000        410000.00000       -.10250000000E-01   0.39344772355E-02   0.39344772355E-02    0.0000000000        0.0000000000        0.0000000000       -35.822250566       -10.000019615       -10.000019615        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.3877376427       -.31289607123        100000000.00        1.0000000000       -.53844298864E-02   0.31553185886E-02   0.31553185886E-02    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.48168052400E-03   0.20707565691E-03   0.73794697907E-04   0.61908806970E-08   0.61984365080E-01   
 510000.00000        510000.00000       -.12750000000E-01   0.54640429805E-02   0.54640429805E-02    0.0000000000        0.0000000000        0.0000000000       -38.071989375       -10.000013872       -10.000013872        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.4501980590       -.41699676501        100000000.00        1.0000000000       -.75608732131E-02   0.46943223102E-02   0.46943223102E-02    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.33041128479E-03   0.46544459815E-03   0.63139759467E-04   0.18966517246E-08   0.56970410431E-01   
 610000.00000        610000.00000       -.15250000000E-01   0.71433486685E-02   0.71433486685E-02    0.0000000000        0.0000000000        0.0000000000       -40.185740288       -10.000004258       -10.000004258        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.5046287517       -.50771458619        100000000.00        1.0000000000       -.97392731136E-02   0.63777476399E-02   0.63777476399E-02    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.32926330373E-04   0.66858541551E-04   0.52484973818E-04   0.10409703322E-07   0.50924520597E-01   
 710000.00000        710000.00000       -.17750000000E-01   0.89717741089E-02   0.89717741089E-02    0.0000000000        0.0000000000        0.0000000000       -42.122440226       -10.000006155       -10.000006155        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.5512475487       -.58541258115        100000000.00        1.0000000000       -.11931991965E-01   0.82059865791E-02   0.82059865791E-02    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.33212665335E-03   0.18383466522E-03   0.43618649488E-04   0.32340921052E-08   0.44480742316E-01   
 810000.00000        810000.00000       -.20250000000E-01   0.10947092304E-01   0.10947092304E-01    0.0000000000        0.0000000000        0.0000000000       -43.841079725       -9.9999938420       -9.9999938420        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.5902500032       -.65041667199        100000000.00        1.0000000000       -.14150910364E-01   0.10178315093E-01   0.10178315093E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.75944788904E-04   0.58795418077E-04   0.35613251929E-04   0.25450958674E-07   0.37793328867E-01   
